,Time,Flux
0,6162.543358664318,966737.9893590598
1,6162.544078112488,694460.3498821242
2,6162.544793527372,703446.5791201033
3,6162.677905661447,2116844.2137829727
4,6162.678625774341,2052235.9431935411
5,6162.679346391076,2140986.430951126
6,6162.68006670728,2115858.7621826986
7,6162.680786940532,127938.17022827896
8,6162.68150707309,2103745.235540894
9,6162.682227474815,124008.16205386096
10,6162.682947567697,2127542.1637621024
11,6162.68366743963,95869.43104436528
12,6162.684387481956,2078114.3817642594
13,6162.685107911887,2083006.1302102928
14,6162.685827873611,2076014.780406694
15,6162.686547942014,2097119.9707761607
16,6162.687268518067,2086900.7280275314
17,6162.687988894919,1964592.9528670947
18,6162.688709480023,2081915.0890988773
19,6162.689429810104,2086559.440701623
20,6162.690149895267,2031320.303605148
21,6162.690869945104,2074187.2166081136
22,6162.691590747477,2097354.2736616777
23,6162.692311165567,2093274.0932777803
24,6162.693031830938,2076769.1868900498
25,6162.693752369225,2051792.9334201235
26,6162.694473423044,2075166.366946369
27,6162.695194238391,2023548.0519306147
28,6162.695914591875,2074229.8763266266
29,6162.696635292431,2000435.0136638037
30,6162.697356174352,1987844.8156676386
31,6162.69807689544,2034556.8349267393
32,6162.698797591528,2032933.189631527
33,6162.69951841191,2023223.9510134137
34,6162.700239230035,2011509.5309099131
35,6162.700960216053,2020503.7292315247
36,6162.7016801032405,1995814.2390191578
37,6162.702399971748,1959866.5456012744
38,6162.703120879155,2024919.8719083809
39,6162.703841030532,2006194.012475397
40,6162.704561059769,1962452.135499171
41,6162.705281320625,1947564.4963026056
42,6162.706002202523,1977358.343177909
43,6162.706723045,1958288.8503088416
44,6162.707443789491,1966297.671229084
45,6162.708164793171,1962746.6278386605
46,6162.708886049387,1949302.2346522608
47,6162.709607278542,1929500.6315717753
48,6162.710327278461,1903118.401382753
49,6162.711047423854,1939093.650186806
50,6162.7117679247685,1945879.745226922
51,6162.71248921566,1909288.0824217193
52,6162.713210523773,1911810.5627717122
53,6162.7139317130095,1852400.8084763107
54,6162.714652943727,1847870.1647705021
55,6162.715374181134,1856821.0594562215
56,6162.716094874375,1861076.6522361846
57,6162.716815729988,1810104.6443378413
58,6162.717536966076,1790883.4882951058
59,6162.718258476829,1825425.7127281139
60,6162.71898008478,1834169.965347995
61,6162.719701442407,1851212.7244447262
62,6162.720423132222,1784338.1289396035
63,6162.721144983241,1769695.523945843
64,6162.721866299364,1745000.6522063313
65,6162.722587400822,1779528.5369890155
66,6162.72330790059,1788188.754771405
67,6162.724029034606,1700528.1638415866
68,6162.724750687963,1776765.7846402144
69,6162.725472721123,1750568.214818238
70,6162.726193905417,1757254.071138297
71,6162.72691560868,1707688.6271834439
72,6162.72763735963,1718970.9566175311
73,6162.728358433241,1728181.8231840236
74,6162.729079578415,1659561.487343029
75,6162.729800585058,1680075.1786420152
76,6162.730521821875,1643896.169738846
77,6162.731243702141,1646376.4123990312
78,6162.731965206285,1629579.6141842878
79,6162.732686036343,1554824.5274108495
80,6162.733407835984,1580225.9738347633
81,6162.734129479861,1587204.5640870575
82,6162.7348510544325,1586927.3990664543
83,6162.735573083426,1572216.7108349968
84,6162.736295233865,1447974.231120105
85,6162.737017199248,1531197.5080756492
86,6162.737739229827,1749753.0651239404
87,6162.7384612456135,1502394.586189596
88,6162.739184233588,1500425.2487123003
